#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read     3250.1  2409.5   202.4  1800.9  1881.3  3064.1  3180.9  3511.4  3833.4  3901.3  3969.2  4037.1 10574.3 33623.5 46916.2   4986.0     5000
read     2785.5  1859.2   187.4   320.4   381.7  3106.0  3215.8  3567.6  3809.4  3881.4  3953.4  4025.4  4388.5 28642.9 37951.6   9959.6    10000
read     2126.3  1771.4   173.5   299.2   356.6  2890.4  3129.5  3200.7  3277.6  3432.3  3802.8  3955.5  4180.7 24456.3 31922.6  14992.0    15000
read     1703.0  1828.0   173.5   298.5   350.1   701.2  2992.9  3097.1  3162.2  3227.4  3422.4  3890.4  4470.1 26813.0 32485.9  19911.2    20000
read     1473.3  1900.9   173.5   312.0   364.2   687.9   977.0  2927.1  3083.0  3180.5  3338.3  3836.7  5538.8 29963.5 36842.0  24902.8    25000
read     1352.8  1679.3   187.4   325.4   382.3   714.3   908.6  1175.7  3025.0  3156.6  3341.2  3904.1  5321.3 26703.7 32389.1  30000.6    30000
read     2324.2  3284.4   218.6   681.7   754.0  1011.7  1516.1  1862.0  4629.0  4950.5  5376.9  8811.1 10125.2 32452.3 43214.8  31154.8    35000
read     2271.0  3294.2   202.4   675.6   739.1   979.8  1471.3  1770.0  4459.1  4902.7  5346.3  8821.9 10109.4 35415.7 53391.5  31965.8    40000
read     2258.8  3097.2   202.4   687.4   752.0   995.1  1522.1  1838.0  4568.5  4916.0  5218.6  8235.4 10018.6 32391.5 39652.5  31821.0    45000
read     2255.0  3088.9   218.6   681.7   743.6   981.9  1528.9  1812.6  4558.4  4912.8  5265.0  8239.9 10068.7 33596.7 40147.8  31937.6    50000
read     2279.1  3178.0   236.1   669.9   741.9   993.2  1515.4  1835.0  4575.1  4924.0  5276.5  8483.2 10118.3 32267.8 39769.5  31838.2    55000
read     2148.2  2931.1   202.4   651.4   706.8   931.4  1465.0  1714.8  4492.0  4863.3  5138.3  5913.1  9850.4 32236.7 42152.5  33187.2    60000
read     2307.6  3308.8   218.6   679.3   750.2  1002.9  1488.2  1794.2  4477.5  4916.3  5353.7  8905.7 10176.0 35417.4 40570.9  31539.2    65000
read     2234.5  3165.7   202.4   675.0   742.1   979.3  1479.1  1747.5  4469.8  4894.0  5249.6  8439.7 10027.4 32463.7 46326.1  32263.6    70000
read     2250.7  3219.1   236.1   672.3   736.7   971.3  1475.3  1744.7  4460.3  4886.4  5258.1  8547.1 10123.7 35696.1 40947.9  32353.0    75000
read     2225.0  2944.3   218.6   681.8   745.5   986.6  1547.2  1882.6  4631.2  4910.4  5124.4  5859.4  9873.3 32433.9 40477.8  32177.2    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 70.86%,0.51%,100.00%
