type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      446.5   627.1   187.4   260.9   285.5   397.6   436.1   458.3   472.4   494.5   522.5   575.9  1330.4 11977.1 20918.1   4969.8     5000
read      484.5   379.3   187.4   254.7   282.6   459.3   523.6   556.5   580.1   607.3   640.4   711.5  1073.2  4112.7 11511.4  10021.6    10000
read      524.4   487.9   173.5   250.2   280.3   489.4   574.7   620.0   652.1   689.3   743.1   832.6  1112.6  4831.2 20150.9  14908.6    15000
read      531.6   351.7   187.4   254.8   284.3   496.0   587.2   636.8   675.5   721.6   783.3   883.2  1106.6  4426.9 12724.8  19997.0    20000
read      564.8   383.4   173.5   252.3   286.3   533.5   622.0   674.7   717.7   773.4   846.2   953.0  1177.0  4047.8 16521.8  24973.6    25000
read      553.1   366.0   173.5   240.2   268.2   521.8   612.9   666.5   708.6   765.0   842.3   952.0  1264.2  4173.3 12558.4  29976.8    30000
read      550.2   421.0   173.5   239.4   264.5   511.5   607.7   663.6   707.9   768.0   848.7   964.4  1285.4  4600.3 15709.3  34930.8    35000
read      550.7   364.2   173.5   240.0   266.2   516.8   614.0   669.6   713.5   770.6   847.3   961.6  1261.9  4069.5 11875.5  39886.4    40000
read      559.4   328.8   160.7   245.0   274.2   529.9   631.4   688.8   734.7   790.0   860.1   972.1  1237.5  2768.9 12713.1  44847.4    45000
read      569.8   406.4   160.7   248.1   277.0   526.3   631.4   692.0   740.3   800.0   878.5  1001.5  1438.5  3690.2 16758.3  50000.0    50000
read      591.1   356.3   173.5   259.8   296.1   554.4   657.5   719.3   766.8   826.1   902.9  1017.7  1386.4  3714.5 13363.4  55068.6    55000
read      655.5   411.6   173.5   289.2   334.4   604.6   722.5   793.9   846.7   910.3   997.3  1160.8  1542.6  4712.1 13293.6  59957.2    60000
read     1088.6   587.2   187.4   692.8   753.5   940.7  1035.9  1165.1  1439.1  1613.2  1723.0  1847.4  2052.3  6345.5 21806.4  60414.9    65000
read     1072.1   571.2   187.4   685.2   742.5   921.8  1011.9  1157.3  1450.2  1592.0  1699.8  1822.5  2014.4  7364.6 22190.0  61630.0    70000
read     1085.3   592.5   187.4   696.2   753.8   929.3  1017.0  1163.5  1455.2  1612.9  1717.4  1839.3  2037.6  7938.4 23010.5  61128.2    75000
read     1080.4   542.4   173.5   702.7   757.5   929.2  1014.3  1145.3  1449.9  1616.9  1718.4  1838.8  2026.2  5291.1 20345.0  61178.0    80000
