type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read     3302.5  2590.0   187.4  1771.6  1824.1  3043.9  3171.5  3231.6  3830.9  3901.4  3971.9  4042.4 16930.3 32489.6 36562.1   4978.0     5000
read     2729.4  1981.9   173.5   313.0   366.7  3082.2  3198.1  3416.0  3777.2  3858.2  3939.2  4020.2  5454.5 29436.9 34691.8  10006.2    10000
read     2162.6  1848.2   173.5   297.5   349.9  2920.1  3124.8  3193.4  3252.8  3465.0  3848.6  3977.7  4263.0 24891.7 32484.5  15054.2    15000
read     1717.4  1961.0   173.5   290.6   340.9   689.0  2995.2  3095.3  3157.9  3220.4  3408.3  3881.5  4732.7 30219.9 37966.2  19921.0    20000
read     1513.6  2171.9   173.5   316.3   371.5   702.3   982.4  2908.6  3087.6  3191.4  3373.7  3921.3  5725.9 31741.5 37894.7  25154.2    25000
read     1398.4  1815.6   173.5   336.7   399.1   747.4   959.9  1261.8  3018.1  3174.4  3396.2  3971.4  5499.6 29719.3 36536.0  29925.6    30000
read     2160.3  3027.3   236.1   635.6   697.5   954.0  1465.4  1744.8  4463.9  4845.4  5109.3  5853.3  9899.4 33582.9 46558.9  32779.4    35000
read     2292.6  3239.4   202.4   693.4   757.3   984.5  1533.3  1838.6  4621.6  4936.6  5283.9  8543.9 10118.6 32486.2 37911.1  31648.2    40000
read     2335.3  3391.2   202.4   694.6   753.9   990.4  1528.3  1844.4  4620.7  4951.2  5391.0  8624.9 10215.4 35344.3 40630.8  31645.4    45000
read     2342.3  3447.1   218.6   695.8   759.3   997.7  1520.2  1821.8  4537.0  4932.4  5389.4  8836.2 10222.1 35366.4 42119.1  31594.2    50000
read     2214.6  3182.6   202.4   660.3   718.2   937.9  1487.3  1721.8  4486.9  4882.0  5197.2  8191.5 10114.7 33586.8 43772.8  32904.8    55000
read     2225.6  3088.1   173.5   672.6   732.0   956.2  1517.9  1831.7  4575.5  4946.7  5388.0  6548.8  9786.5 34714.4 39664.6  32664.6    60000
read     2302.6  3330.6   218.6   689.8   752.7   978.5  1515.8  1804.6  4564.4  4926.2  5312.7  8551.4 10188.6 32702.5 40251.9  31953.4    65000
read     2340.2  3534.6   236.1   681.8   749.1   980.9  1496.3  1771.3  4452.2  4918.6  5447.1  8976.0 10216.0 35615.3 48782.4  31762.4    70000
read     2191.5  3072.2   218.6   653.3   714.1   947.4  1483.2  1735.4  4505.3  4877.8  5172.6  5946.7  9978.4 32504.3 42024.0  32933.6    75000
read     2263.8  3337.7   236.1   661.6   727.2   971.2  1487.2  1755.4  4511.3  4889.3  5197.3  8302.9 10132.9 35691.9 43544.6  32446.2    80000
