#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      432.5   436.2   187.4   261.8   286.2   399.9   439.1   460.5   475.0   495.2   520.3   566.0  1055.9  7791.9 13770.5   5036.8     5000
read      488.3   547.5   187.4   252.5   277.2   458.0   525.6   558.9   582.7   611.8   649.4   722.2  1018.7  7276.7 24860.5  10004.2    10000
read      523.6   317.7   173.5   255.9   286.3   497.5   578.8   620.6   649.5   685.8   738.2   830.1  1123.8  4554.5  8690.7  15059.4    15000
read      539.8   326.5   173.5   252.4   283.8   508.9   595.8   646.1   684.3   733.5   799.8   907.3  1167.6  3567.6 11080.6  19983.4    20000
read      538.1   373.4   173.5   243.6   271.3   502.9   599.2   650.8   690.6   742.6   808.8   917.8  1191.1  4222.9 12518.4  24983.1    25000
read      561.8   402.8   173.5   243.7   273.2   527.0   622.5   677.4   720.5   774.2   843.2   941.8  1227.6  4550.4 13259.1  30006.4    30000
read      550.3   400.9   173.5   239.4   264.4   506.0   607.9   667.8   714.0   772.9   849.7   966.8  1318.8  4332.7 14833.5  34830.0    35000
read      564.2   369.3   160.7   241.5   268.8   530.3   636.1   694.0   738.8   793.7   865.4   990.7  1297.2  4061.4 12666.3  39823.8    40000
read      562.0   418.7   173.5   241.6   268.0   509.0   622.1   687.8   739.5   803.9   888.6  1019.2  1425.9  4266.2 15627.7  44927.6    45000
read      577.6   571.7   160.7   246.3   278.4   541.4   643.1   702.3   747.8   805.3   880.5  1005.4  1342.7  4400.3 14332.9  49936.2    50000
read      561.8   332.3   173.5   248.1   280.2   529.4   631.9   690.8   736.7   791.5   861.4   972.9  1250.9  3080.5 12880.7  54734.8    55000
read      671.6   476.3   160.7   274.7   322.6   614.4   735.1   804.4   857.3   925.4  1032.4  1276.0  1671.2  5443.6 17477.0  60040.1    60000
read     1040.9   498.7   173.5   621.0   690.4   911.2  1026.1  1190.9  1369.1  1513.6  1636.8  1767.7  2004.6  5572.6 16959.8  62345.2    65000
read     1054.6   540.1   173.5   630.3   699.7   922.0  1038.8  1206.3  1391.2  1531.5  1650.3  1786.3  2021.5  5652.6 20090.8  62535.4    70000
read     1023.7   523.5   187.4   625.3   686.7   878.7   993.4  1223.7  1403.1  1512.7  1606.8  1718.2  1903.5  5626.0 19694.2  64335.6    75000
read     1086.4   547.3   173.5   687.6   751.0   938.3  1034.8  1171.0  1433.4  1603.1  1718.5  1844.5  2047.1  7585.5 19519.8  60999.8    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 70.60%,1.00%,100.00%
