type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      579.3  1421.4   187.4   266.1   298.7   453.5   503.9   531.3   549.0   575.7   610.1   676.7  4037.1 30123.0 38446.4   4991.4     5000
read      634.9  1240.9   173.5   248.3   276.3   544.1   629.7   676.1   710.4   750.6   805.4   902.8  3481.5 26604.7 32466.9  10047.8    10000
read      663.9  1092.3   173.5   240.6   266.3   554.8   672.9   738.8   789.6   845.3   914.3  1031.5  4193.4 12569.3 32424.2  14907.0    15000
read      700.6  1088.8   173.5   244.0   275.2   589.0   714.1   788.5   842.7   903.0   978.5  1097.8  4183.2 11543.4 34234.1  20057.0    20000
read      681.3   975.4   173.5   243.3   271.8   578.9   695.9   777.6   840.7   913.6  1004.5  1143.9  3138.6 10169.6 32420.6  25009.7    25000
read      719.4  1100.4   173.5   241.4   270.4   597.7   724.6   804.3   869.8   946.3  1050.7  1228.7  4359.7 12091.1 32309.6  29896.4    30000
read      695.5   905.4   173.5   242.8   271.7   591.2   723.6   802.9   865.7   937.3  1036.4  1215.1  3275.9 10093.6 35201.9  35029.6    35000
read      699.7   880.6   173.5   244.8   273.7   598.2   737.1   817.2   877.4   953.9  1059.4  1251.3  2827.6 11184.3 31810.5  39847.6    40000
read      722.2   902.9   173.5   252.2   287.5   620.8   764.8   844.7   902.9   975.5  1079.3  1306.7  2545.3  9838.6 34960.2  44893.0    45000
read      799.1   900.3   173.5   270.1   320.8   694.0   853.0   932.5   990.7  1066.1  1196.4  1573.9  2713.5 10506.4 31608.9  49913.6    50000
read     1230.6  1033.4   218.6   778.1   832.9  1013.0  1098.0  1212.9  1523.7  1753.8  1882.0  2029.0  3736.8 13805.0 32116.0  53757.4    55000
read     1175.4   823.1   187.4   761.1   814.8   984.3  1072.9  1184.0  1541.7  1718.7  1836.4  1974.8  2393.8  9770.3 31350.6  56202.2    60000
read     1240.0   892.7   202.4   803.5   853.4  1035.7  1130.2  1255.1  1629.5  1801.3  1925.0  2059.2  2640.8 11994.6 32245.6  54013.8    65000
read     1207.0   906.2   187.4   793.4   839.8  1002.6  1088.0  1191.2  1583.3  1771.3  1880.3  2012.7  2627.6  9453.9 32246.0  55321.6    70000
read     1237.6   928.7   187.4   824.0   878.4  1036.8  1109.4  1187.0  1438.7  1793.0  1941.0  2088.9  2841.0 10700.9 32092.9  54050.2    75000
read     1326.6  1078.6   202.4   873.7   926.2  1107.2  1192.8  1279.7  1511.8  1894.9  2057.3  2213.0  3222.8 17056.9 33581.9  51057.1    80000
