#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      466.7   507.4   173.5   279.4   311.8   432.9   471.3   495.7   511.8   536.9   569.2   623.6   892.8  7659.7 25327.9   5026.6     5000  1652447257848  1652447263227
read      499.4   451.8   160.7   262.1   292.1   488.7   549.6   577.4   594.9   620.7   650.4   703.5   867.8  6155.4 17152.5   9933.0    10000  1652447264732  1652447270059
read      504.4   331.2   173.5   252.3   281.4   496.5   582.2   617.1   638.9   667.5   699.9   753.6   903.3  4268.1 12435.1  15034.6    15000  1652447271563  1652447276877
read      499.0   282.3   173.5   243.6   271.7   480.9   582.2   623.4   649.7   679.4   717.3   778.2   931.9  3260.6 11616.4  19868.0    20000  1652447278381  1652447283670
read      501.9   303.2   160.7   241.2   268.7   469.1   582.0   633.1   666.4   702.1   744.3   808.6   975.7  4892.2 10831.9  24942.4    25000  1652447285173  1652447290465
read      490.3   340.0   160.7   237.6   263.3   452.6   563.5   617.5   652.3   690.4   736.8   805.1   957.4  3805.9 15213.4  30029.4    30000  1652447291969  1652447297253
read      477.5   272.3   160.7   236.4   260.4   432.0   540.6   601.0   639.8   684.5   735.2   806.1   992.1  2970.3  9283.7  34984.2    35000  1652447298756  1652447304029
read      483.2   271.9   148.8   237.5   262.5   440.0   544.2   605.3   646.2   691.7   742.2   825.4  1010.2  2545.5  9489.4  40034.8    40000  1652447305533  1652447310812
read      470.0   363.2   160.7   236.0   259.0   422.6   522.6   583.7   625.0   671.1   725.3   799.5   962.4  3580.5 12455.7  44885.6    45000  1652447312315  1652447317595
read      453.0   254.7   160.7   230.8   253.2   406.8   499.3   556.9   600.6   650.8   711.9   793.8   972.0  1727.8  9077.6  49827.8    50000  1652447319097  1652447324385
read      449.7   253.0   160.7   235.6   257.7   407.2   495.6   550.2   590.2   636.9   692.6   767.3   938.2  1673.8 10422.6  55105.4    55000  1652447325889  1652447331169
read      436.9   248.7   160.7   231.3   253.5   395.7   476.1   529.1   568.8   615.9   674.1   751.2   926.7  1414.7  9513.0  59948.8    60000  1652447332672  1652447337946
read      431.1   236.1   148.8   229.1   251.6   393.1   468.2   515.2   550.6   595.9   656.3   741.4   926.3  1661.3  8015.2  64935.6    65000  1652447339449  1652447344729
read      431.6   434.9   160.7   234.3   256.5   393.8   465.5   510.1   546.2   589.9   646.5   731.3   902.0  2016.7 10070.7  69920.0    70000  1652447346232  1652447351506
read      427.2  1201.6   160.7   236.0   257.7   386.9   454.1   496.5   529.8   570.6   625.0   706.5   870.8  1343.1 11469.5  75054.2    75000  1652447353010  1652447358291
read      438.4  1241.5   160.7   242.5   266.4   401.7   469.3   509.8   540.3   577.1   625.7   700.5   867.9  1474.0  8467.4  79934.6    80000  1652447359795  1652447365085
read      466.9   923.2   160.7   258.4   288.6   442.2   511.5   548.4   576.3   608.7   651.4   720.8   872.3  1333.5 11863.8  85076.2    85000  1652447366589  1652447371872
read      500.9   752.8   160.7   286.7   320.3   480.3   545.1   581.1   607.7   639.1   683.5   749.5   926.9  2236.1 10782.7  90042.4    90000  1652447373376  1652447378650
read      685.1   313.1   173.5   379.1   428.5   661.0   754.4   809.1   848.3   892.3   945.6  1039.4  1241.4  2813.0 12199.3  92978.6    95000  1652447380153  1652447385428
read      693.9   341.8   173.5   382.7   436.4   668.2   770.2   827.2   865.3   909.9   963.2  1044.4  1208.1  2485.2 15224.1  93776.0   100000  1652447386932  1652447392226
read      527.2   250.3   160.7   302.7   337.4   490.9   562.4   606.6   641.7   689.6   759.3   875.1  1087.1  1629.8  9490.5 102126.8   105000  1652447393729  1652447399010
read      564.1   217.5   160.7   356.6   397.8   559.0   609.9   636.6   659.2   684.5   721.4   779.2   919.3  1355.4 10185.2 109429.0   110000  1652447400513  1652447405792
read      594.2   288.2   173.5   351.5   389.8   558.9   638.5   690.6   733.3   785.4   850.1   929.7  1070.3  2096.3 11900.6 108375.0   115000  1652447407295  1652447412569
read      617.3   253.9   173.5   376.0   417.4   592.4   662.3   704.5   737.4   780.0   835.7   922.4  1097.2  1844.1 10994.8 105338.8   120000  1652447414073  1652447419345
