type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read     3334.1  2465.7   202.4  1798.7  1879.0  3061.1  3184.7  3779.9  3847.5  3915.0  3982.6  4050.2 15766.8 32121.5 39468.6   4970.6     5000
read     2854.9  2087.2   187.4   322.5   384.7  3107.6  3216.9  3660.0  3824.2  3893.0  3961.8  4030.6  7554.9 29605.0 38966.6   9926.0    10000
read     2183.1  1814.9   173.5   298.9   352.7  2973.4  3133.1  3200.5  3279.4  3469.3  3845.5  3977.3  4332.7 21852.3 33019.8  14952.6    15000
read     1667.6  1833.2   173.5   297.5   346.3   687.4  2903.1  3088.8  3156.2  3223.5  3392.4  3840.4  5177.0 25968.7 36531.8  19996.8    20000
read     1479.7  1935.2   173.5   318.6   371.7   701.8   977.7  2918.0  3085.4  3185.5  3352.3  3850.8  5540.0 30886.7 37880.1  24999.8    25000
read     1351.7  1710.8   173.5   312.3   365.6   674.0   865.9  1215.0  3034.0  3161.7  3344.4  3934.4  5486.6 22222.4 32489.3  29974.0    30000
read     2203.1  3167.2   218.6   651.5   714.0   959.9  1438.7  1702.5  3574.6  4818.6  5217.6  8633.5 10065.0 32433.7 43572.6  32475.8    35000
read     2315.9  3358.5   218.6   681.1   750.4   994.8  1497.6  1754.7  4243.6  4906.4  5471.6  9003.1 10196.6 35024.8 43861.2  31548.0    40000
read     2263.3  3086.4   218.6   693.9   754.7   988.7  1536.6  1851.6  4582.2  4912.8  5214.1  8104.8 10065.1 32557.6 40000.7  31907.6    45000
read     2314.8  3259.6   218.6   693.2   758.2  1006.4  1522.1  1828.4  4526.8  4926.1  5365.2  8877.5 10126.8 33873.0 41327.1  31393.4    50000
read     2283.1  3152.2   187.4   694.3   756.6   996.9  1529.0  1852.7  4639.7  4933.9  5247.4  8202.7 10069.8 32579.3 43576.2  31694.2    55000
read     2302.2  3240.0   218.6   694.3   757.8   996.3  1517.5  1838.1  4576.6  4939.8  5368.0  8828.0 10121.9 32650.9 39506.5  31513.2    60000
read     2243.3  3086.4   255.0   668.4   734.7   987.7  1507.2  1814.8  4517.7  4893.1  5216.4  8257.3 10084.0 32495.5 40202.1  32136.4    65000
read     2271.6  3190.9   202.4   681.5   749.0   998.1  1513.3  1831.2  4513.1  4897.4  5225.6  8394.2 10099.1 34457.1 43433.3  31971.6    70000
read     2197.6  3108.3   218.6   655.0   715.4   950.8  1471.0  1725.0  4462.3  4849.5  5187.4  8201.3  9999.5 34405.4 48232.1  32840.4    75000
read     2263.7  3095.0   275.4   687.7   753.4   993.7  1523.1  1850.6  4597.5  4923.0  5223.8  7930.1 10048.0 33159.4 39773.9  31779.4    80000
