xtype       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read     3262.3  2242.6   202.4  1797.1  1876.0  3045.7  3175.8  3711.8  3838.2  3907.4  3976.7  4045.9 12464.7 32055.6 40060.5   5000.6     5000
read     2773.2  1888.2   173.5   313.7   369.0  3098.9  3209.8  3517.7  3805.2  3879.6  3954.1  4028.6  5957.2 28475.6 39981.5   9956.6    10000
read     2086.0  1761.3   173.5   293.4   346.2  2826.6  3116.7  3186.4  3230.0  3387.1  3771.0  3938.6  4096.6 21945.1 33810.5  15101.8    15000
read     1742.7  1938.2   187.4   302.1   351.3   714.4  2999.8  3105.0  3170.8  3245.8  3448.1  3906.4  5330.4 29152.2 35478.5  19994.0    20000
read     1494.2  1937.9   187.4   316.5   370.0   699.6   987.9  2950.5  3092.9  3197.1  3381.2  3889.6  5634.6 30097.2 36545.7  24865.6    25000
read     1340.1  1581.0   173.5   323.1   381.8   714.1   908.2  1189.5  3018.0  3142.0  3309.9  3882.3  5294.3 19612.4 32469.5  30043.8    30000
read     2171.8  3030.1   202.4   651.6   713.5   950.6  1463.4  1727.7  4128.0  4835.5  5160.8  8215.5  9980.6 32340.2 42536.8  32446.4    35000
read     2238.4  3069.0   218.6   676.3   743.3   977.9  1523.7  1825.9  4575.7  4911.0  5201.3  6100.4  9989.9 32411.7 40774.2  32076.6    40000
read     2321.4  3303.1   255.0   693.3   759.9  1004.6  1506.6  1829.5  4540.0  4939.1  5411.3  8861.7 10169.2 34772.5 46231.9  31435.0    45000
read     2287.4  3225.4   218.6   695.8   754.2   983.9  1520.1  1813.8  4526.2  4923.9  5343.8  8802.0 10125.0 32507.6 40662.9  31687.5    50000
read     2315.4  3443.2   187.4   680.3   755.0   994.7  1467.5  1762.6  4359.7  4902.1  5416.4  8950.9 10169.0 36047.4 56473.4  31728.4    55000
read     2119.5  2997.0   236.1   641.7   697.0   916.2  1415.7  1630.4  3789.7  4816.6  5160.5  8202.6  9945.8 32515.3 39918.0  33716.6    60000
read     2157.8  2793.1   236.1   654.6   717.7   963.8  1516.5  1855.4  4568.5  4888.6  5129.6  5824.5  9551.6 32076.8 37729.2  32841.0    65000
read     2259.9  3119.9   218.6   676.2   743.9   993.0  1531.3  1859.2  4541.3  4965.2  5470.0  6833.6  9865.9 32377.7 40640.3  32180.6    70000
read     2183.8  3073.9   218.6   652.4   715.8   955.2  1470.9  1714.7  4436.1  4832.5  5149.9  8206.1  9969.7 32286.3 38760.0  32942.8    75000
read     2207.3  3263.0   255.0   660.0   718.3   942.1  1455.2  1678.8  2976.7  4814.4  5230.4  8650.7 10079.0 32509.5 44110.3  32930.0    80000
