#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      428.0   518.4   187.4   260.2   283.7   389.5   427.5   449.2   464.8   484.3   507.2   550.3  1071.2  7174.9 21871.7   4965.2     5000
read      499.5   519.1   173.5   257.8   287.0   472.8   539.2   572.8   594.9   624.6   663.3   732.6   962.2  5880.4 30798.3  10029.2    10000
read      513.0   324.1   173.5   249.2   277.1   485.3   570.4   615.0   645.8   686.3   740.3   832.9  1068.1  4277.8  8675.8  15055.0    15000
read      540.1   407.0   173.5   242.1   269.6   501.0   593.4   644.2   684.4   736.3   801.6   901.7  1244.6  5460.2 14948.0  19888.0    20000
read      543.6   391.1   173.5   244.5   272.4   505.5   598.1   650.8   692.1   747.8   824.7   927.6  1185.5  4678.2 13093.5  24968.2    25000
read      541.4   360.3   173.5   240.9   266.0   499.3   594.9   650.0   694.3   757.5   839.3   952.8  1281.7  4178.3 12151.7  29972.6    30000
read      551.3   381.1   173.5   239.4   265.1   518.3   613.9   670.1   715.0   773.5   850.1   964.9  1260.4  3915.3 15592.4  34998.8    35000
read      557.6   372.1   173.5   241.6   267.9   519.5   622.2   681.5   729.1   787.3   861.7   981.3  1330.0  3995.0 12486.3  39957.0    40000
read      550.0   386.1   173.5   243.9   269.5   505.6   611.5   674.0   722.4   782.6   860.1   977.2  1246.0  4645.5 13236.3  45036.8    45000
read      572.4   392.1   173.5   249.4   279.0   531.7   636.6   698.2   745.3   805.7   885.7  1010.2  1370.5  3649.4 13948.6  50008.2    50000
read      577.6   375.9   173.5   257.1   289.5   537.9   642.4   704.6   751.3   809.8   886.7  1005.5  1357.3  3579.7 15189.1  54970.4    55000
read      785.8   502.4   173.5   319.8   382.4   726.0   864.6   931.2   984.3  1059.0  1221.0  1554.6  1885.4  4697.3 17722.1  59861.6    60000
read     1099.9   623.8   173.5   694.5   756.4   944.0  1037.4  1172.1  1457.1  1621.0  1733.5  1857.7  2097.1  8852.4 21286.0  60216.8    65000
read     1048.7   581.7   173.5   669.8   722.4   892.7   986.8  1166.1  1439.2  1559.1  1656.6  1760.4  1980.3  7631.9 22572.5  63063.6    70000
read     1058.8   533.2   187.4   681.1   734.2   906.7   998.6  1169.0  1451.5  1575.6  1675.5  1788.6  1993.0  6138.3 19617.0  62418.8    75000
read     1035.1   500.0   187.4   660.5   715.3   883.8   977.2  1175.6  1428.4  1549.4  1646.6  1741.1  1925.3  5407.5 17124.2  63692.8    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 72.71%,4.04%,100.00%
