type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read     3257.5  2401.2   202.4  1778.4  1833.6  3052.0  3176.5  3653.0  3836.2  3904.2  3972.2  4040.2 12434.8 32334.4 57428.5   4972.2     5000
read     2754.9  1743.2   173.5   322.4   385.3  3100.4  3213.9  3551.3  3805.6  3878.6  3951.6  4024.6  4339.0 28809.0 33169.8  10015.2    10000
read     2121.3  1801.5   173.5   295.0   349.3  2868.2  3116.6  3185.6  3228.8  3414.1  3820.1  3963.3  4219.5 24303.2 34563.7  15026.4    15000
read     1701.3  1792.5   173.5   299.4   351.2   706.0  2962.2  3091.4  3156.7  3222.0  3429.2  3901.7  4383.0 25707.9 36003.6  19881.2    20000
read     1505.3  2073.8   187.4   314.6   367.5   690.8   988.5  2971.2  3090.4  3190.8  3364.2  3887.0  5678.5 31571.0 37887.9  24997.6    25000
read     1337.6  1593.9   173.5   322.2   378.1   708.2   907.5  1174.5  3020.7  3158.1  3344.9  3791.3  5359.8 20046.2 32355.8  29829.2    30000
read     2315.9  3330.2   218.6   678.5   753.1  1007.7  1531.9  1915.4  4574.4  4929.0  5288.7  8033.6 10116.9 35547.2 48847.5  31353.6    35000
read     2329.8  3298.2   187.4   691.3   760.4  1013.0  1539.3  1901.6  4680.1  4952.1  5313.9  8377.8 10134.0 35570.4 42689.5  31321.2    40000
read     2325.4  3441.9   255.0   681.8   749.9   989.0  1489.5  1778.3  4460.9  4929.9  5451.6  8933.1 10205.9 35406.4 40103.4  31727.2    45000
read     2218.8  3116.4   202.4   654.7   717.3   953.5  1491.8  1793.7  4592.9  4920.5  5213.9  5946.9  9981.4 35209.9 40583.8  32637.0    50000
read     2326.0  3352.0   202.4   704.2   765.0   993.1  1514.8  1834.2  4552.6  4937.2  5412.4  8872.2 10173.6 34253.7 45049.7  31475.4    55000
read     2249.3  3211.2   187.4   676.3   738.8   962.1  1492.6  1757.7  4488.7  4891.3  5255.4  8616.2 10118.4 32394.9 40233.2  32267.4    60000
read     2263.9  3302.7   202.4   667.2   727.0   960.1  1482.8  1731.3  4425.3  4898.9  5334.1  8890.1 10175.4 34059.4 50036.0  32243.8    65000
read     2211.7  3108.4   202.4   664.3   720.5   938.2  1494.9  1770.7  4570.4  4910.8  5183.9  5931.4 10025.1 32508.2 39395.9  32686.0    70000
read     2219.6  3312.6   202.4   655.6   713.7   930.4  1424.3  1667.9  2812.4  4816.5  5304.8  8881.4 10164.4 35396.4 45730.6  32977.0    75000
read     2335.2  3343.9   187.4   696.4   762.2  1011.1  1529.9  1903.1  4654.8  4947.5  5318.1  8468.6 10174.8 35567.8 44090.3  31451.2    80000
