type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      425.8   477.1   187.4   260.9   284.2   392.9   432.3   454.2   468.6   488.3   509.7   553.5   940.1  6917.0 23453.1   5023.6     5000
read      490.9   362.7   187.4   256.8   282.8   471.1   537.5   571.4   593.6   624.4   664.5   737.2   999.0  4366.8 12817.1  10062.8    10000
read      509.3   325.7   173.5   250.8   277.6   482.8   565.7   608.6   637.9   677.5   730.6   821.0  1093.3  4437.3  9895.4  14941.6    15000
read      542.0   406.0   173.5   252.7   281.5   503.3   594.5   646.7   686.5   736.8   806.1   911.5  1164.1  4236.6 16280.6  19984.0    20000
read      549.1   392.6   173.5   242.9   272.1   514.1   605.2   658.8   699.8   750.4   823.7   929.0  1253.0  4354.4 16659.8  25021.4    25000
read      553.7   379.4   173.5   243.2   272.4   522.0   612.3   664.7   705.1   758.6   829.8   937.1  1230.9  5061.9 12701.9  30024.0    30000
read      559.4   429.4   173.5   242.1   269.1   523.7   620.8   676.6   719.6   774.2   848.0   956.4  1275.0  5054.1 15332.4  35112.6    35000
read      560.7   358.4   173.5   241.4   267.8   529.1   629.0   685.4   730.7   788.2   863.7   984.6  1309.9  3953.8 13227.2  39973.4    40000
read      560.7   416.7   173.5   245.0   271.8   515.5   622.8   682.5   729.7   790.4   870.7   995.8  1339.8  5055.1 15148.9  45025.4    45000
read      558.6   352.4   173.5   247.1   274.1   517.5   623.6   685.4   735.4   796.1   874.4   997.7  1308.7  3501.9 10096.8  50056.8    50000
read      577.5   359.5   173.5   259.2   292.1   543.1   642.8   701.2   746.0   802.7   876.5   993.4  1305.1  3437.4 13002.1  54997.6    55000
read      628.6   376.8   173.5   281.0   323.7   582.6   690.6   759.1   811.8   875.3   962.4  1103.2  1468.0  3596.2 15439.4  59922.6    60000
read     1001.7   486.2   187.4   574.9   653.2   876.9   983.6  1120.8  1328.7  1481.1  1602.8  1737.0  1977.5  4397.8 16252.5  62589.0    65000
read     1084.2   597.9   187.4   668.1   737.8   938.2  1037.2  1171.8  1410.5  1589.9  1712.6  1841.4  2040.4  7740.2 23148.8  61132.8    70000
read     1031.8   517.9   187.4   656.9   709.9   881.5   978.1  1170.2  1418.0  1537.0  1634.8  1738.2  1940.8  4923.2 19696.8  63892.2    75000
read     1076.0   552.5   187.4   670.3   736.8   926.3  1015.6  1179.8  1445.6  1595.6  1709.7  1833.5  2032.9  5894.4 20807.6  61436.4    80000
