#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      545.2  1103.2   202.4   272.1   304.3   443.9   494.6   523.1   543.0   570.2   606.6   678.4  3427.0 10822.8 32405.8   4983.2     5000
read      594.9   885.7   187.4   258.3   289.3   522.9   610.1   658.7   693.0   735.8   794.3   887.4  2636.4 10281.5 35134.0   9972.2    10000
read      647.9   957.1   187.4   247.0   273.4   544.6   659.2   726.4   776.2   831.8   897.5  1014.1  3792.4  8735.8 32143.5  14954.0    15000
read      685.0  1058.5   187.4   249.9   280.7   572.7   690.2   770.1   827.7   890.9   970.6  1093.7  3683.4 10440.8 32255.8  20033.6    20000
read      732.7  1190.2   173.5   250.3   282.7   607.9   728.3   808.7   871.7   946.1  1040.2  1194.3  4198.8 16788.6 32471.7  24962.8    25000
read      707.7  1028.4   173.5   247.0   273.8   581.2   711.8   796.9   865.5   945.8  1053.0  1233.5  4046.5 11352.2 32319.4  29951.2    30000
read      825.4  1292.3   173.5   258.6   297.2   678.2   833.8   917.4   982.4  1063.9  1173.3  1382.7  4860.2 24807.5 35445.4  35045.9    35000
read      726.7   920.0   173.5   254.9   289.2   629.9   776.3   855.1   912.9   983.6  1082.2  1269.1  2349.7 10108.7 31992.7  39857.8    40000
read      811.9   957.2   173.5   267.3   314.1   692.5   869.0   968.8  1037.3  1111.5  1216.1  1480.5  2751.2 10632.3 32104.2  44735.4    45000
read     1382.1  1097.8   187.4   904.5   967.7  1161.5  1254.5  1342.0  1496.5  1939.0  2136.7  2325.8  3303.3 15849.3 33883.6  48416.2    50000
read     1180.7   896.1   187.4   744.1   804.6   991.9  1086.2  1219.4  1516.5  1708.9  1837.1  1984.7  2376.5 12148.8 31350.3  54930.7    55000
read     1378.1  1058.5   173.5   932.6   987.5  1164.6  1248.1  1318.8  1462.9  1965.4  2156.9  2328.8  3151.2 15728.2 35221.3  48848.8    60000
read     1381.1   965.5   187.4   941.6   998.7  1181.1  1266.1  1345.1  1474.0  1965.6  2173.8  2347.6  2813.7 12630.9 32361.8  48608.2    65000
read     1349.7  1238.5   187.4   889.6   945.4  1104.6  1179.9  1260.5  1451.1  1914.1  2074.5  2236.1  4258.9 23309.0 35796.8  50272.2    70000
read     1428.5  1151.3   187.4   974.7  1032.2  1202.8  1275.5  1349.2  1449.5  2011.7  2228.2  2389.8  3578.1 18429.3 32848.5  47257.9    75000
read     1399.3  1208.2   218.6   954.6  1002.4  1161.3  1243.4  1311.7  1459.8  1992.4  2161.4  2332.7  3528.5 24135.7 34102.4  48656.4    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 73.16%,2.00%,100.00%
