type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      552.1  1106.6   187.4   278.7   308.2   451.7   503.3   531.9   550.4   578.0   614.5   686.4  3299.1 12795.3 36179.4   5001.6     5000
read      605.6  1119.1   187.4   253.8   280.4   507.4   593.6   640.4   676.3   719.9   778.7   873.2  3539.9 12414.5 36195.0   9914.4    10000
read      651.4  1680.8   173.5   249.6   279.0   552.1   663.7   725.8   772.0   825.8   887.2   984.9  2704.2 10242.0 32355.5  14901.6    15000
read      638.5   837.1   173.5   246.4   271.9   543.6   663.8   741.8   805.2   870.2   947.2  1072.0  2692.6  8903.3 31922.8  19986.2    20000
read      694.8  1076.6   173.5   247.9   276.2   583.1   699.3   783.5   850.0   927.0  1018.7  1168.1  2881.0 12862.6 36428.7  25166.8    25000
read      693.6   997.7   173.5   245.4   272.3   575.3   704.8   791.7   858.8   934.6  1040.5  1215.4  3786.1 10448.1 32467.3  30077.9    30000
read      706.1   930.0   173.5   249.5   276.7   596.5   743.3   830.6   892.8   968.5  1069.2  1255.1  2903.1 10228.6 31956.6  35089.2    35000
read      785.7  1043.8   173.5   259.0   296.1   664.9   827.6   915.3   980.1  1057.1  1159.2  1379.1  3487.5 11784.9 32304.8  40031.2    40000
read      854.1   998.5   173.5   272.8   323.4   739.6   920.6  1010.7  1070.7  1141.5  1247.5  1652.1  2969.3 13257.8 32075.6  44953.7    45000
read      855.1   966.6   187.4   281.6   341.7   748.3   913.6   993.6  1056.2  1143.5  1308.9  1705.4  2823.4 10226.6 32029.2  49808.9    50000
read     1450.1  1115.0   202.4   988.5  1043.5  1225.1  1304.8  1372.3  1490.5  2074.2  2276.0  2458.7  3337.3 16815.2 33406.1  46543.8    55000
read     1470.3  1220.2   218.6   999.4  1051.6  1234.4  1316.4  1378.5  1490.2  2045.6  2277.9  2476.7  4092.3 23970.7 34731.5  46191.0    60000
read     1372.7  1092.2   187.4   923.9   976.0  1154.3  1236.9  1298.2  1443.2  1955.4  2138.3  2312.1  3166.8 16679.2 33338.2  49240.2    65000
read     1472.5  1074.9   173.5  1025.5  1079.5  1257.3  1340.4  1389.9  1488.6  2055.7  2312.9  2500.1  3000.4 17242.6 33303.6  46009.4    70000
read     1386.0  1072.0   173.5   951.8  1001.7  1165.3  1247.0  1315.3  1461.9  1986.6  2166.4  2335.8  3207.2 16141.9 35452.5  48889.5    75000
read     1363.2  1108.9   187.4   923.4   970.4  1134.8  1206.9  1275.6  1429.3  1958.4  2123.1  2285.4  3676.3 17240.7 32400.3  49610.6    80000
