type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      573.9  1308.1   187.4   268.3   297.8   455.9   505.5   533.1   551.2   577.5   612.2   689.7  4118.6 29180.5 35607.2   4973.0     5000
read      610.1  1021.4   173.5   248.8   274.5   524.8   611.1   657.6   690.4   733.1   790.5   881.8  3381.1 13453.4 32520.3  10055.4    10000
read      689.8  1106.4   173.5   244.0   274.4   588.2   706.3   772.3   819.5   870.7   938.1  1064.7  4058.3 11088.7 32362.4  14986.0    15000
read      666.4   932.5   173.5   245.7   277.0   576.5   695.3   773.7   832.9   895.6   971.9  1085.8  2493.4  9423.0 32297.5  20023.4    20000
read      689.1   911.2   173.5   243.6   273.9   589.7   708.1   792.2   855.5   927.8  1016.4  1157.1  3406.5  9397.9 32142.1  24882.0    25000
read      636.1   829.0   173.5   240.3   265.0   534.5   659.7   743.1   812.0   894.3   991.2  1132.0  2213.4  9228.5 31836.7  29985.8    30000
read      661.3   832.9   173.5   241.5   267.7   570.4   695.9   774.1   835.8   913.7  1018.1  1185.9  2123.4  9207.0 33169.9  35007.4    35000
read      723.0  1015.6   173.5   247.6   280.4   610.1   748.9   828.3   885.4   955.5  1059.5  1248.9  3469.1 11124.2 33837.4  39962.4    40000
read      694.3   844.3   173.5   250.5   285.8   596.7   739.5   825.3   884.7   957.9  1058.6  1247.6  1994.8  8935.5 32231.0  45006.4    45000
read      963.1   989.8   173.5   313.1   397.7   863.0   998.1  1070.6  1131.9  1238.4  1523.6  1885.2  3814.2 11758.7 32053.3  49802.4    50000
read     1191.5   939.4   173.5   630.1   789.6  1015.1  1095.8  1178.1  1404.0  1751.7  1887.9  2034.4  2760.8 12050.4 33723.5  53703.2    55000
read     1153.4   839.6   187.4   718.7   775.2   960.9  1062.6  1244.4  1539.0  1671.6  1781.2  1913.4  2586.8 10599.6 31167.2  57151.4    60000
read     1275.7  1040.0   187.4   825.2   882.9  1058.6  1146.1  1246.3  1579.1  1837.3  1974.4  2129.5  3059.5 15631.7 32495.4  53028.2    65000
read     1279.8  1029.2   187.4   834.3   893.3  1071.8  1156.1  1239.8  1455.6  1831.7  1986.7  2143.1  2952.8 16025.9 31943.5  52872.8    70000
read     1213.3   836.2   187.4   811.3   858.2  1018.0  1094.7  1186.3  1526.1  1787.3  1915.8  2034.3  2517.1 10168.5 31503.5  55114.6    75000
read     1271.8  1015.6   187.4   833.9   888.5  1056.9  1139.5  1223.7  1484.2  1831.1  1977.4  2134.9  3043.4 15635.4 32480.1  53099.6    80000
