#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      459.4   559.8   187.4   267.4   298.8   416.6   458.6   482.1   500.4   523.2   550.7   610.7   962.5 10226.4 18740.0   5014.0     5000
read      516.4   600.7   173.5   256.5   286.6   480.1   546.9   583.8   611.2   641.8   689.7   776.6  1098.5  7446.2 31071.0  10032.0    10000
read      544.8   348.7   173.5   254.1   289.4   514.9   599.8   645.4   682.5   729.4   796.4   911.4  1156.6  3874.3 14502.4  15024.8    15000
read      559.4   392.5   173.5   248.1   283.8   524.8   612.6   665.0   705.4   755.9   829.5   940.4  1230.1  4668.7 17531.2  20062.4    20000
read      575.6   360.8   173.5   247.0   282.8   545.5   633.8   687.2   732.7   790.2   867.4   994.5  1260.6  4209.6 13208.3  24867.8    25000
read      562.1   353.5   173.5   242.0   271.6   532.1   625.6   680.3   724.8   781.7   858.3   975.2  1239.6  3815.5 12619.1  29923.0    30000
read      565.7   477.1   173.5   237.9   263.9   517.6   624.1   685.3   736.2   801.9   887.7  1014.0  1372.6  4807.4 21123.0  34939.5    35000
read      549.1   348.7   173.5   236.8   260.6   505.8   613.2   677.0   727.7   792.7   874.7   996.6  1305.8  3533.4 12641.9  40007.8    40000
read      574.0   422.7   173.5   240.7   268.9   526.4   637.0   704.3   755.9   820.5   903.8  1032.9  1391.2  4858.2 14376.5  44936.2    45000
read      576.5   371.5   160.7   243.1   273.3   534.0   641.1   707.5   758.3   821.3   904.7  1032.7  1387.9  3772.3 12647.5  50097.8    50000
read      573.4   387.5   160.7   245.4   276.6   529.6   637.2   703.2   753.5   814.7   894.5  1014.1  1372.0  3888.9 15794.2  55058.9    55000
read      607.8   389.0   160.7   261.1   300.7   561.6   671.9   739.2   791.7   854.9   935.2  1078.3  1453.8  3854.7 15419.3  60005.6    60000
read     1045.9   544.7   173.5   649.8   713.6   908.6  1002.0  1141.8  1387.9  1540.2  1657.9  1780.6  1992.5  6100.7 20710.6  62165.6    65000
read     1021.1   551.3   160.7   647.3   702.2   873.1   964.7  1146.3  1396.0  1516.1  1614.5  1723.4  1911.8  6475.7 21461.1  64225.0    70000
read     1048.7   505.1   187.4   665.1   723.1   903.0   993.3  1161.1  1427.0  1557.3  1661.9  1776.6  1984.0  5033.3 16743.2  62912.4    75000
read     1044.9   529.4   173.5   661.1   720.3   897.3   988.0  1144.4  1421.8  1556.1  1660.9  1771.1  1987.9  7004.4 17183.8  63154.2    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 73.00%,3.48%,100.00%
